Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
01-12-2022,08:10,30-11-2022,ISHARES PROP US,IE00B1FZSF77,Dividende,,USD,"-7,63",USD,"34,35",
01-12-2022,08:10,30-11-2022,ISHARES PROP US,IE00B1FZSF77,Dividende,,USD,"7,63",USD,"41,98",
01-12-2022,08:03,30-11-2022,ISHARES ASIA PROPERTY YIELD UCITS ET...,IE00B1FZS244,Dividende,,USD,"10,21",USD,"34,35",
01-12-2022,07:53,30-11-2022,ISHARES MSCI EUROPE QUALITY DIV ETF E...,IE00BYYHSM20,Dividende,,EUR,"23,32",EUR,"42,72",
01-12-2022,07:21,30-11-2022,CF INDUSTRIES HOLDINGS,US1252691001,Dividende,,USD,"4,00",USD,"24,14",
01-12-2022,07:21,30-11-2022,CF INDUSTRIES HOLDINGS,US1252691001,Dividendensteuer,,USD,"-0,60",USD,"20,14",
01-12-2022,06:55,30-11-2022,WELLTOWER INC. COMMON,US95040Q1040,Dividende,,USD,"24,40",USD,"20,74",
01-12-2022,06:55,30-11-2022,WELLTOWER INC. COMMON,US95040Q1040,Dividendensteuer,,USD,"-3,66",USD,"-3,66",
30-11-2022,16:18,30-11-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 14,01 EUR",,,,EUR,"19,40",
30-11-2022,16:18,30-11-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-14,01",EUR,"5,39",
30-11-2022,07:33,29-11-2022,,,Währungswechsel (Einbuchung),,EUR,"14,01",EUR,"19,40",
30-11-2022,07:33,29-11-2022,,,Währungswechsel (Ausbuchung),"0,8661",GBP,"-12,13",GBP,"-0,00",
29-11-2022,09:51,25-11-2022,TESCO,GB00BLGZ9862,Dividende,,GBP,"12,13",GBP,"12,13",
