Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
17-03-2023,16:51,17-03-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 20,12 EUR",,,,EUR,"110,23",
17-03-2023,16:51,17-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-20,12",EUR,"90,11",
17-03-2023,07:38,16-03-2023,,,Währungswechsel (Einbuchung),,EUR,"20,12",EUR,"110,23",
17-03-2023,07:38,16-03-2023,,,Währungswechsel (Ausbuchung),"1,0637",USD,"-21,40",USD,"0,00",
17-03-2023,06:05,16-03-2023,DUKE ENERGY CORPORATIO,US26441C2044,Dividende,,USD,"11,06",USD,"21,40",
17-03-2023,06:05,16-03-2023,DUKE ENERGY CORPORATIO,US26441C2044,Dividendensteuer,,USD,"-1,66",USD,"10,34",
16-03-2023,07:35,15-03-2023,KELLOGG COMPANY COMMON,US4878361082,Dividende,,USD,"9,44",USD,"12,00",
16-03-2023,07:35,15-03-2023,KELLOGG COMPANY COMMON,US4878361082,Dividendensteuer,,USD,"-1,42",USD,"2,56",
16-03-2023,07:16,15-03-2023,NEXTERA ENERGY,US65339F1012,Dividende,,USD,"4,68",USD,"3,98",
16-03-2023,07:16,15-03-2023,NEXTERA ENERGY,US65339F1012,Dividendensteuer,,USD,"-0,70",USD,"-0,70",
15-03-2023,16:49,15-03-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 24,88 EUR",,,,EUR,"90,11",
15-03-2023,16:49,15-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-24,88",EUR,"65,23",
15-03-2023,07:36,14-03-2023,,,Währungswechsel (Einbuchung),,EUR,"24,88",EUR,"90,11",
15-03-2023,07:36,14-03-2023,,,Währungswechsel (Ausbuchung),"1,0760",USD,"-26,77",USD,"0,00",
14-03-2023,16:49,14-03-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 23,53 EUR",,,,EUR,"65,23",
14-03-2023,16:49,14-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-23,53",EUR,"41,70",
14-03-2023,08:01,12-03-2023,3M COMPANY COMMON STOC,US88579Y1010,Dividende,,USD,"31,50",USD,"26,77",
14-03-2023,08:01,12-03-2023,3M COMPANY COMMON STOC,US88579Y1010,Dividendensteuer,,USD,"-4,73",USD,"-4,73",
14-03-2023,07:34,13-03-2023,,,Währungswechsel (Einbuchung),,EUR,"23,53",EUR,"65,23",
14-03-2023,07:34,13-03-2023,,,Währungswechsel (Ausbuchung),"1,0758",USD,"-25,31",USD,"0,00",
13-03-2023,07:18,10-03-2023,INTERNATIONAL BUSINESS,US4592001014,Dividende,,USD,"18,15",USD,"25,31",
13-03-2023,07:18,10-03-2023,INTERNATIONAL BUSINESS,US4592001014,Dividendensteuer,,USD,"-2,72",USD,"7,16",
13-03-2023,07:17,10-03-2023,AMERICAN ELECTRIC POWER,US0255371017,Dividende,,USD,"11,62",USD,"9,88",
13-03-2023,07:17,10-03-2023,AMERICAN ELECTRIC POWER,US0255371017,Dividendensteuer,,USD,"-1,74",USD,"-1,74",
10-03-2023,17:49,10-03-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 19,55 EUR",,,,EUR,"41,70",
10-03-2023,17:49,10-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-19,55",EUR,"22,15",
