Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
06-02-2023,16:50,06-02-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 165,33 EUR",,,,EUR,"19,35",
06-02-2023,16:50,06-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"165,33",EUR,"184,68",
06-02-2023,11:21,03-02-2023,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 1.029,2 EUR",,,,EUR,"19,35",
06-02-2023,11:21,03-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"1029,20",EUR,"1048,55",
06-02-2023,09:05,06-02-2023,ISHARES PROP US,IE00B1FZSF77,"Kauf 6 zu je 27,555 EUR (IE00B1FZSF77)",,EUR,"-165,33",EUR,"19,35",74271a84-af64-4719-9b3f-4b38cd67dd24
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0802",USD,"403,69",USD,"0,00",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-373,72",EUR,"184,68",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Einbuchung),"1,0802",USD,"36,70",USD,"-403,69",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,Währungswechsel (Ausbuchung),,EUR,"-33,98",EUR,"558,40",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"592,38",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,"Kauf 11 zu je 36,699 USD (US0605051046)",,USD,"-403,69",USD,"-440,39",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,18:20,03-02-2023,BANK OF AMERICA CORPOR,US0605051046,"Kauf 1 zu je 36,7 USD (US0605051046)",,USD,"-36,70",USD,"-36,70",36f1541f-7cd5-4fa4-a1e2-33f7b261638b
03-02-2023,17:49,03-02-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 8,62 EUR",,,,EUR,"593,38",
03-02-2023,17:49,03-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-8,62",EUR,"584,76",
03-02-2023,17:20,03-02-2023,KELLOGG COMPANY COMMON,US4878361082,Währungswechsel (Einbuchung),"1,0825",USD,"670,60",USD,"0,00",d517ad63-0e78-4830-a938-3738ea3e68cf
03-02-2023,17:20,03-02-2023,KELLOGG COMPANY COMMON,US4878361082,Währungswechsel (Ausbuchung),,EUR,"-619,50",EUR,"593,38",d517ad63-0e78-4830-a938-3738ea3e68cf
03-02-2023,17:20,03-02-2023,KELLOGG COMPANY COMMON,US4878361082,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"1212,88",d517ad63-0e78-4830-a938-3738ea3e68cf
03-02-2023,17:20,03-02-2023,KELLOGG COMPANY COMMON,US4878361082,"Kauf 10 zu je 67,06 USD (US4878361082)",,USD,"-670,60",USD,"-670,60",d517ad63-0e78-4830-a938-3738ea3e68cf
03-02-2023,09:11,03-02-2023,,,flatex Einzahlung,,EUR,"1000,00",EUR,"1213,88",
03-02-2023,07:36,02-02-2023,,,Währungswechsel (Einbuchung),,EUR,"8,62",EUR,"213,88",
03-02-2023,07:36,02-02-2023,,,Währungswechsel (Ausbuchung),"1,0937",USD,"-9,43",USD,"0,00",
02-02-2023,20:19,02-02-2023,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 9,17 EUR",,,,EUR,"205,26",
02-02-2023,20:19,02-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-9,17",EUR,"196,09",
02-02-2023,07:37,01-02-2023,,,Währungswechsel (Einbuchung),,EUR,"9,17",EUR,"205,26",
02-02-2023,07:37,01-02-2023,,,Währungswechsel (Ausbuchung),"1,1018",USD,"-10,10",USD,"9,43",
02-02-2023,07:27,01-02-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividende,,USD,"11,09",USD,"19,53",
02-02-2023,07:27,01-02-2023,VERIZON COMMUNICATIONS,US92343V1044,Dividendensteuer,,USD,"-1,66",USD,"8,44",
