Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
03-05-2024,18:01,03-05-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 25,28 EUR",,,,EUR,147.99,
03-05-2024,18:01,03-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-25.28,EUR,122.71,
03-05-2024,07:48,02-05-2024,BAYER AG,DE000BAY0017,Dividendensteuer,,EUR,-0.84,EUR,147.99,
03-05-2024,07:48,02-05-2024,BAYER AG,DE000BAY0017,Dividende,,EUR,3.19,EUR,148.83,
03-05-2024,06:58,02-05-2024,,,Währungswechsel (Einbuchung),,EUR,22.93,EUR,145.64,
03-05-2024,06:58,02-05-2024,,,Währungswechsel (Ausbuchung),1.0752,USD,-24.65,USD,0.00,
02-05-2024,12:30,01-05-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 110,81 EUR",,,,EUR,122.71,
02-05-2024,12:30,01-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-110.81,EUR,11.90,
02-05-2024,07:30,01-05-2024,GENERAL MILLS INC. CO,US3703341046,Dividende,,USD,17.70,USD,24.65,
02-05-2024,07:30,01-05-2024,GENERAL MILLS INC. CO,US3703341046,Dividendensteuer,,USD,-2.66,USD,6.95,
02-05-2024,07:21,01-05-2024,VERIZON COMMUNICATIONS,US92343V1044,Dividende,,USD,11.31,USD,9.61,
02-05-2024,07:21,01-05-2024,VERIZON COMMUNICATIONS,US92343V1044,Dividendensteuer,,USD,-1.70,USD,-1.70,
01-05-2024,06:59,30-04-2024,BASF SE,DE000BASF111,Dividendensteuer,,EUR,-38.56,EUR,122.71,
01-05-2024,06:59,30-04-2024,BASF SE,DE000BASF111,Dividende,,EUR,146.20,EUR,161.27,
01-05-2024,05:53,30-04-2024,IS EUR MC EUR D,IE00BYXYX745,Dividende,,EUR,3.17,EUR,15.07,
29-04-2024,20:30,29-04-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 1,11 EUR",,,,EUR,11.90,
29-04-2024,20:30,29-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.11,EUR,10.79,
27-04-2024,06:56,26-04-2024,,,Währungswechsel (Einbuchung),,EUR,1.11,EUR,11.90,
27-04-2024,06:56,26-04-2024,,,Währungswechsel (Ausbuchung),1.0720,USD,-1.19,USD,0.00,
26-04-2024,07:18,25-04-2024,GENERAL ELECTRIC COMPANY COMMON,US3696043013,Dividende,,USD,1.40,USD,1.19,
26-04-2024,07:18,25-04-2024,GENERAL ELECTRIC COMPANY COMMON,US3696043013,Dividendensteuer,,USD,-0.21,USD,-0.21,
17-04-2024,17:00,17-04-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 10,79 EUR",,,,EUR,10.79,
17-04-2024,17:00,17-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-10.79,EUR,0.00,
17-04-2024,06:58,16-04-2024,,,Währungswechsel (Einbuchung),,EUR,10.79,EUR,10.79,
17-04-2024,06:58,16-04-2024,,,Währungswechsel (Ausbuchung),1.0646,USD,-11.49,USD,0.00,
16-04-2024,08:08,15-04-2024,CARDINAL HEALTH INC.,US14149Y1082,Dividende,,USD,13.52,USD,11.49,
16-04-2024,08:08,15-04-2024,CARDINAL HEALTH INC.,US14149Y1082,Dividendensteuer,,USD,-2.03,USD,-2.03,
10-04-2024,18:10,11-04-2024,,,Processed Flatex Withdrawal,,EUR,162.87,EUR,0.00,
10-04-2024,18:10,11-04-2024,,,flatex Auszahlung,,EUR,-162.87,EUR,-162.87,
10-04-2024,11:15,10-04-2024,,,Processed Flatex Withdrawal,,EUR,-162.87,EUR,0.00,
08-04-2024,17:45,08-04-2024,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 0,02 EUR",,,,EUR,162.87,
08-04-2024,17:45,08-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.02,EUR,162.85,
